# Sweep MEMS Completo Sincronizzato (128 Medie Modulo + Fase) - 20260907_160506
"# f_center=417520.0 Hz, span=+/-400.0 Hz, points=401, navg=128, Vpp=0.1 V"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
378,417874.000,417874.000,9.163000e-02,1.012000e+00,1.104442e+01,20.863,69.900
379,417876.000,417876.000,9.135000e-02,1.017000e+00,1.113300e+01,20.932,70.200
380,417878.000,417878.000,9.139000e-02,1.012000e+00,1.107342e+01,20.886,70.400
381,417880.000,417880.000,9.139000e-02,1.014000e+00,1.109531e+01,20.903,70.700
382,417882.000,417882.000,9.135000e-02,1.010000e+00,1.105638e+01,20.872,70.400
383,417884.000,417884.000,9.156000e-02,1.013000e+00,1.106378e+01,20.878,70.200
384,417886.000,417886.000,9.139000e-02,1.012000e+00,1.107342e+01,20.886,70.400
385,417888.000,417888.000,9.153000e-02,1.010000e+00,1.103463e+01,20.855,69.900
386,417890.000,417890.000,9.139000e-02,1.014000e+00,1.109531e+01,20.903,70.400
387,417892.000,417892.000,9.142000e-02,1.016000e+00,1.111354e+01,20.917,70.300
388,417894.000,417894.000,9.135000e-02,1.012000e+00,1.107827e+01,20.889,70.400
389,417896.000,417896.000,9.149000e-02,1.014000e+00,1.108318e+01,20.893,70.200
390,417898.000,417898.000,9.128000e-02,1.011000e+00,1.107581e+01,20.888,69.600
391,417900.000,417900.000,9.139000e-02,1.011000e+00,1.106248e+01,20.877,69.600
392,417902.000,417902.000,9.132000e-02,1.012000e+00,1.108191e+01,20.892,70.100
393,417904.000,417904.000,9.142000e-02,1.012000e+00,1.106979e+01,20.883,70.200
394,417906.000,417906.000,9.142000e-02,1.014000e+00,1.109166e+01,20.900,69.700
395,417908.000,417908.000,9.135000e-02,1.012000e+00,1.107827e+01,20.889,70.000
396,417910.000,417910.000,9.135000e-02,1.010000e+00,1.105638e+01,20.872,69.900
397,417912.000,417912.000,9.139000e-02,1.011000e+00,1.106248e+01,20.877,70.200
398,417914.000,417914.000,9.139000e-02,1.016000e+00,1.111719e+01,20.920,70.500
399,417916.000,417916.000,9.142000e-02,1.013000e+00,1.108073e+01,20.891,70.700
400,417918.000,417918.000,9.142000e-02,1.006000e+00,1.100416e+01,20.831,70.500
401,417920.000,417920.000,9.135000e-02,1.012000e+00,1.107827e+01,20.889,70.500
